"","blue","dual_sim","four_g","three_g","touch_screen","wifi","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","price_range"
"8","0","1","0","1","1","1","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(176,188]","(2.75,4.5]","[-0.02,4]","(392,784]","(1.1e+03,1.25e+03]","(630,1e+03]","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","0"
"9","1","0","0","1","0","0","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","(0.64,0.82]","(164,176]","(6.25,8.01]","(12,16]","[-1.96,392]","(800,949]","(1e+03,1.38e+03]","(16.2,19]","[-0.018,3.6]","(17,20]","0"
"10","1","1","1","1","0","0","[500,601]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(92,104]","(4.5,6.25]","(12,16]","(784,1.18e+03]","(1.1e+03,1.25e+03]","[252,630]","(16.2,19]","(7.2,10.8]","(11,14]","0"
"15","0","0","1","1","0","1","(1.8e+03,1.9e+03]","[0.497,1]","(11.4,15.2]","(51.6,57.8]","(0.64,0.82]","(176,188]","[0.993,2.75]","(16,20]","[-1.96,392]","[499,650]","[252,630]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0"
"16","0","0","0","1","1","1","(701,800]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.64,0.82]","(152,164]","[0.993,2.75]","(12,16]","(784,1.18e+03]","(1.85e+03,2e+03]","[252,630]","(16.2,19]","(14.4,18]","(8,11]","0"
"24","1","1","1","1","0","0","(1.6e+03,1.7e+03]","(2.5,3]","(3.8,7.6]","(33,39.2]","(0.64,0.82]","(104,116]","(2.75,4.5]","(16,20]","(392,784]","(650,800]","(1e+03,1.38e+03]","(7.8,10.6]","(3.6,7.2]","(17,20]","0"
"30","0","0","0","1","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.28,0.46]","(188,200]","(4.5,6.25]","(4,8]","(784,1.18e+03]","(1.25e+03,1.4e+03]","[252,630]","(10.6,13.4]","(3.6,7.2]","(8,11]","0"
"32","1","0","0","1","1","1","(1.5e+03,1.6e+03]","[0.497,1]","(15.2,19]","(26.8,33]","(0.82,1]","(140,152]","(6.25,8.01]","(16,20]","(392,784]","(650,800]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(5,8]","0"
"35","1","0","0","1","0","0","(601,701]","(2.5,3]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(152,164]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(800,949]","(1e+03,1.38e+03]","(10.6,13.4]","[-0.018,3.6]","(14,17]","0"
"45","1","0","1","1","1","0","(1.1e+03,1.2e+03]","(2.5,3]","[-0.019,3.8]","(14.4,20.6]","(0.64,0.82]","(104,116]","[0.993,2.75]","(12,16]","(1.57e+03,1.96e+03]","(1.55e+03,1.7e+03]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(11,14]","0"
