"","dual_sim","three_g","wifi","sc_h","sc_w","talk_time","blue","four_g","touch_screen","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","price_range"
"8","1","1","1","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","0","0","1","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(176,188]","(2.75,4.5]","[-0.02,4]","(392,784]","(1.1e+03,1.25e+03]","(630,1e+03]","0"
"9","0","1","0","(16.2,19]","[-0.018,3.6]","(17,20]","1","0","0","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","(0.64,0.82]","(164,176]","(6.25,8.01]","(12,16]","[-1.96,392]","(799,949]","(1e+03,1.38e+03]","0"
"10","1","1","0","(16.2,19]","(7.2,10.8]","(11,14]","1","1","0","[500,601]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(92,104]","(4.5,6.25]","(12,16]","(784,1.18e+03]","(1.1e+03,1.25e+03]","[252,630]","0"
"16","0","1","1","(16.2,19]","(14.4,18]","(8,11]","0","0","1","(700,800]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.64,0.82]","(152,164]","[0.993,2.75]","(12,16]","(784,1.18e+03]","(1.85e+03,2e+03]","[252,630]","0"
"69","1","1","1","(10.6,13.4]","[-0.018,3.6]","[1.98,5]","0","0","0","(1.2e+03,1.3e+03]","(1,1.5]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(164,176]","[0.993,2.75]","[-0.02,4]","(392,784]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","0"
"75","1","0","0","(7.8,10.6]","[-0.018,3.6]","(5,8]","1","0","1","(700,800]","(2.5,3]","(3.8,7.6]","(33,39.2]","(0.46,0.64]","[79.9,92]","(2.75,4.5]","(4,8]","(392,784]","(1.4e+03,1.55e+03]","[252,630]","0"
"77","0","1","0","(7.8,10.6]","(3.6,7.2]","(14,17]","0","1","1","(1.1e+03,1.2e+03]","(2.5,3]","(3.8,7.6]","(8.2,14.4]","(0.28,0.46]","(188,200]","(2.75,4.5]","(12,16]","(784,1.18e+03]","(949,1.1e+03]","(630,1e+03]","0"
"93","1","1","1","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0","1","1","(800,900]","(2,2.5]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(92,104]","(6.25,8.01]","[-0.02,4]","(392,784]","(799,949]","(1.38e+03,1.75e+03]","0"
"94","0","1","1","(13.4,16.2]","(7.2,10.8]","[1.98,5]","1","1","0","(800,900]","(2,2.5]","(7.6,11.4]","(8.2,14.4]","(0.64,0.82]","[79.9,92]","(4.5,6.25]","(12,16]","(392,784]","(1.1e+03,1.25e+03]","[252,630]","0"
"105","1","1","1","(10.6,13.4]","(3.6,7.2]","(5,8]","0","1","1","[500,601]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","(0.46,0.64]","(116,128]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(799,949]","(1e+03,1.38e+03]","0"
"142","1","1","0","(16.2,19]","[-0.018,3.6]","[1.98,5]","0","1","0","(1.2e+03,1.3e+03]","(1.5,2]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(140,152]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","[499,650]","[252,630]","0"
"145","0","1","0","(16.2,19]","[-0.018,3.6]","(8,11]","0","1","1","(1.6e+03,1.7e+03]","(2,2.5]","[-0.019,3.8]","(57.8,64.1]","(0.82,1]","(128,140]","(2.75,4.5]","(8,12]","(392,784]","[499,650]","[252,630]","0"
"157","0","1","1","(16.2,19]","(3.6,7.2]","(5,8]","0","1","0","(601,700]","(2,2.5]","[-0.019,3.8]","(57.8,64.1]","(0.64,0.82]","(92,104]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(1.85e+03,2e+03]","[252,630]","0"
"163","1","1","1","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0","1","1","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(116,128]","(4.5,6.25]","[-0.02,4]","(784,1.18e+03]","(1.25e+03,1.4e+03]","[252,630]","0"
